Campaign_ID,Campaign_Name,Platform,Date,Impressions,Clicks,Conversions,Ad_Spend,Revenue
CAMP1022,Winter Promo,Google Ads,28/12/2024,20433,531,73,4326.25,1977.26
CAMP1023,New Product Launch,TikTok Ads,08/12/2024,132248,3305,122,4690.47,9406.73
CAMP1024,Clearance Event,Meta Ads,05/02/2025,128987,8580,383,665.27,24169.26
CAMP1025,Flash Sale,Email Marketing,27/08/2024,19200,1097,162,672.41,9762.46
CAMP1026,Brand Awareness,Google Ads,07/05/2024,55224,1287,100,2225.03,4785.45
CAMP1027,New Product Launch,Google Ads,14/08/2024,149264,2515,263,2794.82,5648.13
CAMP1028,Holiday Deals,Meta Ads,26/03/2024,111539,4907,234,2124.99,6052.07
CAMP1029,Flash Sale,Google Ads,18/07/2024,74521,5578,680,1569.2,60968.22
CAMP1030,Clearance Event,Meta Ads,07/04/2024,82780,2089,57,3731.54,1487.46
CAMP1031,Brand Awareness,Google Ads,26/01/2024,129987,5875,768,955.68,89147.82
CAMP1032,Holiday Deals,Meta Ads,05/02/2024,22815,1306,66,775.46,7195.9
CAMP1033,New Product Launch,Affiliate,31/10/2024,15418,822,61,3001.63,4408.97
CAMP1034,Retargeting Campaign,Meta Ads,08/12/2024,87361,2333,166,3424.11,8299.95
CAMP1035,Brand Awareness,Google Ads,05/01/2024,125136,6692,623,679.91,45954.62
CAMP1036,Retargeting Campaign,Meta Ads,27/06/2024,23033,1647,112,957.18,11577.94
CAMP1037,Retargeting Campaign,Affiliate,17/02/2025,143658,1515,191,1637.02,16490.72
CAMP1038,Summer Sale,TikTok Ads,29/02/2024,33058,2048,82,1552.43,3367.16
CAMP1039,Brand Awareness,Meta Ads,17/12/2024,74201,3367,177,4559.16,4439.14
CAMP1040,Flash Sale,TikTok Ads,23/01/2024,5929,197,7,4903.03,253.11
CAMP1041,Clearance Event,Affiliate,27/12/2024,117115,5769,199,4736.24,17731.29
CAMP1042,Summer Sale,Affiliate,19/01/2024,101787,5168,202,811.74,10266.82
CAMP1043,Winter Promo,TikTok Ads,17/04/2024,70412,3991,263,2887.44,28264.94
CAMP1044,Summer Sale,Meta Ads,24/03/2024,51413,3686,85,3735.51,4523.58
CAMP1045,Flash Sale,Meta Ads,16/05/2024,46732,3043,103,4386.4,10903.51
CAMP1046,New Product Launch,Meta Ads,22/02/2025,125665,4332,548,4382.35,23176.21
CAMP1047,New Product Launch,Email Marketing,17/06/2024,78034,5501,801,1539.8,67402.69
CAMP1048,Flash Sale,Affiliate,18/06/2024,12235,221,32,1057.13,3720.11
CAMP1049,Retargeting Campaign,Google Ads,25/02/2024,118918,4066,497,2294.69,58856.52
CAMP1050,Holiday Deals,Email Marketing,22/10/2024,54828,1525,171,208.12,19247.34
CAMP1051,New Product Launch,TikTok Ads,08/08/2024,23343,1783,249,3191.15,21498.35
CAMP1052,Holiday Deals,TikTok Ads,16/09/2024,86077,4879,304,3546.6,22934.14
CAMP1053,New Product Launch,Email Marketing,06/12/2024,104390,5993,823,3154.47,41228.17
CAMP1054,Winter Promo,TikTok Ads,26/05/2024,60098,2409,229,3342.59,15228.23
CAMP1055,Clearance Event,Meta Ads,18/09/2024,129042,8460,1224,3732.61,105123.33
CAMP1056,Retargeting Campaign,Affiliate,05/12/2024,92867,1535,220,1327.37,11229.23
CAMP1057,New Product Launch,Meta Ads,13/01/2024,17114,464,37,4278.74,1009.46
CAMP1058,Flash Sale,Affiliate,09/04/2024,105657,4712,243,3349.08,4994.74
CAMP1059,Holiday Deals,Email Marketing,22/04/2024,51107,3387,374,2429.84,28326.98
CAMP1060,Holiday Deals,Email Marketing,09/03/2024,126803,7193,1067,3058.17,122709.23
CAMP1061,Clearance Event,Affiliate,21/02/2025,137324,5475,754,2340.39,27080.51
CAMP1062,Clearance Event,Email Marketing,12/05/2024,69812,4802,269,3932.84,18415.66
CAMP1063,New Product Launch,TikTok Ads,13/08/2024,25311,1517,76,1812.07,8307
CAMP1064,Holiday Deals,Meta Ads,18/03/2024,65623,2415,96,1226.97,5902.73
CAMP1065,Brand Awareness,Affiliate,26/08/2024,113992,1636,209,2069.49,20268.73
CAMP1066,Winter Promo,Affiliate,13/07/2024,130037,1354,88,3816.68,9270.34
CAMP1067,Flash Sale,Affiliate,17/01/2025,148165,9777,1336,2543.5,63184.16
CAMP1068,Clearance Event,Google Ads,18/07/2024,93114,5290,654,3676.07,68049.07
CAMP1069,Summer Sale,Affiliate,30/09/2024,12069,886,85,3382.4,2413.55
CAMP1070,Flash Sale,Meta Ads,24/08/2024,52639,711,49,1215.97,2581.54
CAMP1071,Flash Sale,TikTok Ads,20/01/2025,115510,3194,97,293.04,7172.36
CAMP1072,Brand Awareness,Meta Ads,28/11/2024,22987,1486,155,3820.32,17818.98
CAMP1073,New Product Launch,Google Ads,14/11/2024,44946,1199,97,749.07,11133.24
CAMP1074,Clearance Event,TikTok Ads,27/01/2025,101703,2211,218,3790.04,6856.82
CAMP1075,Summer Sale,TikTok Ads,25/02/2024,11731,880,83,4558.53,4775.05
CAMP1076,New Product Launch,Google Ads,30/10/2024,68661,1176,141,4281.41,11285.8
CAMP1077,Holiday Deals,Affiliate,04/02/2025,15766,540,40,1978.74,2823.84
CAMP1078,Brand Awareness,Google Ads,03/08/2024,133503,2321,336,3250.81,34564.57
CAMP1079,Summer Sale,Email Marketing,31/03/2024,141772,10999,606,4079.36,44733.28
CAMP1080,Clearance Event,Email Marketing,11/08/2024,75358,2453,127,4686.19,6082.39
CAMP1081,Clearance Event,Meta Ads,19/01/2025,126820,6326,676,1814.7,46935.12
CAMP1082,Brand Awareness,Meta Ads,06/09/2024,60605,2111,113,1542.36,8996.55
CAMP1083,Retargeting Campaign,Affiliate,06/01/2024,140430,10723,333,3656.36,22929.64
CAMP1084,New Product Launch,Email Marketing,26/11/2024,133665,5530,122,1612.33,7373.69
CAMP1085,New Product Launch,TikTok Ads,05/12/2024,101736,4387,390,2242.42,36891.48
CAMP1086,Brand Awareness,TikTok Ads,25/12/2024,123946,3589,189,779.15,7419.84
CAMP1087,Holiday Deals,Affiliate,25/01/2025,53535,1253,145,1527.2,11449.01
CAMP1088,Retargeting Campaign,Google Ads,09/04/2024,82659,2142,92,267.91,6754.04
CAMP1089,Retargeting Campaign,Google Ads,28/01/2024,81581,4798,174,4368.61,12021.29
CAMP1090,Winter Promo,Affiliate,25/05/2024,128049,5571,358,4834.39,16198.73
CAMP1091,Clearance Event,Google Ads,24/02/2025,22129,841,24,3221.34,608.66
CAMP1092,Summer Sale,Affiliate,04/06/2024,27329,2174,76,3869.33,6128.01
CAMP1093,New Product Launch,Affiliate,13/07/2024,123099,9059,531,3024.92,33390.86
CAMP1094,Winter Promo,Affiliate,13/01/2025,31013,2367,111,1212.92,9550.75
CAMP1095,Summer Sale,Meta Ads,29/03/2024,149701,2283,46,2362.42,3651.53
CAMP1096,Retargeting Campaign,Google Ads,28/04/2024,80524,4790,533,2379.35,47297.62
CAMP1097,Retargeting Campaign,Affiliate,04/12/2024,56857,2260,205,3308.65,22722.43
CAMP1098,Summer Sale,Google Ads,31/01/2024,48495,3175,309,4156.35,34644.85
CAMP1099,Clearance Event,Google Ads,27/08/2024,84715,4996,712,2602.27,49398.22
CAMP1100,Holiday Deals,Affiliate,21/01/2024,118253,7262,715,324.15,30668.1
CAMP1101,Winter Promo,TikTok Ads,22/10/2024,15546,985,42,2691.03,2697.36
CAMP1102,Retargeting Campaign,Meta Ads,26/10/2024,119264,6492,544,637.96,29809.08
CAMP1103,Brand Awareness,TikTok Ads,09/12/2024,32420,2270,142,3529.63,6932.69
CAMP1104,Flash Sale,Affiliate,19/01/2024,124229,2008,106,756.42,10309.01
CAMP1105,Winter Promo,Affiliate,24/08/2024,113330,1563,136,3188.64,9499.51
CAMP1106,Clearance Event,Google Ads,14/04/2024,75007,3633,510,2302.96,45810.75
CAMP1107,Holiday Deals,Google Ads,18/11/2024,67730,4042,244,265.64,14834.97
CAMP1108,New Product Launch,Google Ads,24/08/2024,35793,1980,79,4676.73,3885.71
CAMP1109,Retargeting Campaign,Email Marketing,04/09/2024,128789,3485,319,2041.21,35787.59
CAMP1110,Summer Sale,Google Ads,21/05/2024,113774,3844,470,1482.43,9520.57
CAMP1111,Retargeting Campaign,Affiliate,23/10/2024,133356,9410,734,2524.84,39081.09
CAMP1112,Flash Sale,Email Marketing,13/06/2024,54454,4283,218,2038.26,23021.08
CAMP1113,Flash Sale,Google Ads,11/06/2024,128987,7657,960,2053.18,82914.13
CAMP1114,Summer Sale,Email Marketing,19/01/2024,38094,1720,166,4374.56,17831.56
CAMP1115,Clearance Event,Google Ads,26/09/2024,124780,1381,53,4380.48,6200.77
CAMP1116,Holiday Deals,Email Marketing,04/02/2025,74474,2509,276,3319.22,29028.72
CAMP1117,Flash Sale,TikTok Ads,16/11/2024,132912,9445,232,528.42,19282.94
CAMP1118,Retargeting Campaign,Meta Ads,17/01/2025,28692,1158,37,3241.99,3968.54
CAMP1119,Clearance Event,Meta Ads,21/12/2024,83503,6115,158,4021.49,7795.21
CAMP1120,Brand Awareness,Email Marketing,15/03/2024,69014,3256,304,4004.09,11247.5
CAMP1121,Holiday Deals,Affiliate,14/07/2024,68132,3054,292,1314.5,24466.82
CAMP1122,Clearance Event,TikTok Ads,07/12/2024,7463,544,43,1580.63,3210.37
CAMP1123,Holiday Deals,Email Marketing,25/06/2024,83421,4565,343,1400.47,35853.92
CAMP1124,New Product Launch,Email Marketing,04/09/2024,32958,876,82,2959.1,9780.07
CAMP1125,Retargeting Campaign,Google Ads,28/02/2025,108758,3177,297,3491.84,28056.66
CAMP1126,Winter Promo,Affiliate,16/01/2025,135214,9234,1268,3923.56,54539.01
CAMP1127,Brand Awareness,Meta Ads,21/11/2024,54841,2931,316,3660.46,27150.14
CAMP1128,Summer Sale,Google Ads,17/11/2024,15334,484,37,2981.95,3449.73
CAMP1129,Holiday Deals,TikTok Ads,16/06/2024,113921,2539,94,2789.16,11012
CAMP1130,Retargeting Campaign,Meta Ads,11/05/2024,131313,10205,595,4377.91,59751.84
CAMP1131,Clearance Event,Google Ads,13/03/2024,64143,4503,514,4903.72,59997.67
CAMP1132,Brand Awareness,Google Ads,08/02/2025,108435,1189,106,2382.97,9251.98
CAMP1133,Retargeting Campaign,Affiliate,14/07/2024,102379,1800,90,320.12,9758.11
CAMP1134,Brand Awareness,Affiliate,23/04/2024,21571,1175,94,3565.17,7982.85
CAMP1135,Holiday Deals,Meta Ads,24/01/2024,14754,461,38,666.52,4131.59
CAMP1136,Summer Sale,Email Marketing,20/08/2024,102258,5821,678,4740.68,41976.79
CAMP1137,Summer Sale,Email Marketing,01/12/2024,30957,2116,211,4707.45,10122.52
CAMP1138,Brand Awareness,Meta Ads,15/08/2024,121574,9305,1220,676.9,108052.99
CAMP1139,Brand Awareness,Google Ads,22/07/2024,77320,1800,64,4270.56,4190.19
CAMP1140,New Product Launch,Affiliate,11/01/2024,18258,1188,61,804.43,4663.93
CAMP1141,Holiday Deals,Affiliate,16/04/2024,61610,4122,207,3916.97,20464.93
CAMP1142,Winter Promo,TikTok Ads,15/03/2024,39076,1868,231,727.65,24634.95
CAMP1143,Summer Sale,Google Ads,02/07/2024,67372,3450,76,1473.76,2483.36
CAMP1144,Flash Sale,Affiliate,28/02/2024,21661,938,113,2663.54,3492.31
CAMP1145,New Product Launch,Affiliate,23/01/2024,141695,4408,456,349.52,54655.56
CAMP1146,Flash Sale,Email Marketing,17/12/2024,33301,1475,203,552.76,5700.05
CAMP1147,Summer Sale,Google Ads,05/03/2024,77093,4140,397,3618.33,23061.9
CAMP1148,Retargeting Campaign,Email Marketing,15/09/2024,117774,1995,221,4293.41,18805.26
CAMP1149,New Product Launch,Email Marketing,19/08/2024,64898,2528,322,2113.9,29933.52
CAMP1150,Brand Awareness,Email Marketing,09/06/2024,71817,2599,103,4630.33,2751.47
CAMP1151,Holiday Deals,Google Ads,09/08/2024,30313,1883,128,824.55,3327.76
CAMP1152,Brand Awareness,Google Ads,29/07/2024,97693,6951,989,2230.1,110356.94
CAMP1153,Winter Promo,TikTok Ads,03/11/2024,86906,3008,286,1221.15,24502.66
CAMP1154,New Product Launch,Google Ads,28/06/2024,101353,1828,102,1285.56,6416.95
CAMP1155,Winter Promo,Affiliate,02/12/2024,75109,903,50,3859.57,5607.69
CAMP1156,Brand Awareness,Google Ads,02/04/2024,42552,2112,152,881,12664.21
CAMP1157,Winter Promo,Google Ads,17/01/2025,144062,3610,269,1836.3,15334.43
CAMP1158,Brand Awareness,Affiliate,01/11/2024,27270,1958,78,3821.29,1948.15
CAMP1159,Holiday Deals,TikTok Ads,14/08/2024,116152,5110,395,1511.2,37720.25
CAMP1160,Holiday Deals,TikTok Ads,08/08/2024,34069,1016,109,2535.84,9451.74
CAMP1161,Winter Promo,Meta Ads,21/07/2024,19360,204,12,1213.92,404.68
CAMP1162,Retargeting Campaign,TikTok Ads,16/06/2024,36453,384,44,1043.34,2552.91
CAMP1163,New Product Launch,Affiliate,13/10/2024,97842,1472,194,403.05,4243.59
CAMP1164,Holiday Deals,TikTok Ads,21/10/2024,117534,5892,661,2204.93,20832.96
CAMP1165,Winter Promo,TikTok Ads,28/03/2024,125611,8571,1196,623.02,124920.33
CAMP1166,New Product Launch,Email Marketing,28/10/2024,109975,5133,366,1689.32,19746.19
CAMP1167,Brand Awareness,Meta Ads,09/02/2024,138820,7541,670,1130.74,65407.29
CAMP1168,Brand Awareness,Meta Ads,30/04/2024,31949,647,29,3091.52,2784.62
CAMP1169,Holiday Deals,Meta Ads,30/01/2025,134529,5714,533,2981.45,46964.41
CAMP1170,Brand Awareness,TikTok Ads,18/03/2024,120281,1777,137,1653.54,6503.03
CAMP1171,Winter Promo,TikTok Ads,16/09/2024,24448,775,61,473.07,6293.35
CAMP1172,Holiday Deals,Google Ads,10/11/2024,137924,5091,485,4780.31,45537.67
CAMP1173,Winter Promo,Email Marketing,18/02/2025,54345,1766,144,924.13,3770.98
CAMP1174,Holiday Deals,TikTok Ads,31/12/2024,27106,1228,52,1389.17,3316.34
CAMP1175,Clearance Event,Affiliate,24/09/2024,46614,1653,230,2059.6,22412.69
CAMP1176,Winter Promo,TikTok Ads,03/02/2024,91426,1519,164,1563.91,15149.23
CAMP1177,Summer Sale,TikTok Ads,11/02/2024,42074,3120,188,3349.06,16208.14
CAMP1178,Summer Sale,Affiliate,28/12/2024,27208,861,59,3999.98,5977.79
CAMP1179,Holiday Deals,Email Marketing,17/09/2024,99851,1125,67,4765.61,3629.61
CAMP1180,Clearance Event,Meta Ads,25/04/2024,41061,855,49,3982.98,3467.68
CAMP1181,Winter Promo,TikTok Ads,27/01/2025,39353,2038,81,1068.06,7232.05
CAMP1182,Summer Sale,Email Marketing,23/01/2024,112704,4001,454,4854.03,36801.03
CAMP1183,Clearance Event,Meta Ads,30/09/2024,67696,2143,268,2451.27,27741.04
CAMP1184,Brand Awareness,Affiliate,13/08/2024,126026,8048,975,2613.95,60319.43
CAMP1185,Summer Sale,Meta Ads,14/02/2025,41280,2935,78,2506.84,4455.45
CAMP1186,Holiday Deals,Affiliate,04/03/2024,79727,1265,51,2356.73,3638.1
CAMP1187,Flash Sale,Google Ads,23/04/2024,123260,8865,1249,2191.51,74497.1
CAMP1188,Brand Awareness,Meta Ads,16/07/2024,26392,956,22,4667.96,2286.19
CAMP1189,Brand Awareness,Meta Ads,11/03/2024,15040,452,57,3541.15,1931.12
CAMP1190,Clearance Event,Email Marketing,11/11/2024,6376,468,10,1235.14,349.52
CAMP1191,Flash Sale,Google Ads,01/02/2025,80524,2144,76,1344.51,6376.03
CAMP1192,Clearance Event,Google Ads,26/02/2024,136027,7042,155,2673.8,6850.04
CAMP1193,Summer Sale,TikTok Ads,07/08/2024,5410,286,14,2199.52,1210.12
CAMP1194,Holiday Deals,Affiliate,03/07/2024,22741,1745,158,3974.78,11180.44
CAMP1195,Winter Promo,Email Marketing,28/08/2024,16412,894,131,1417.52,2832.77
CAMP1196,Holiday Deals,TikTok Ads,03/05/2024,32174,2059,237,1796.09,5790.76
CAMP1197,Brand Awareness,Meta Ads,01/03/2025,126798,9973,819,1074.93,27424.43
CAMP1198,Clearance Event,Google Ads,30/05/2024,57845,755,34,401.15,3853.46
CAMP1199,Flash Sale,Affiliate,30/08/2024,71404,897,93,1573.33,9877.89
CAMP1200,Winter Promo,TikTok Ads,19/05/2024,37630,2481,190,2120.1,12155
CAMP1201,Flash Sale,TikTok Ads,05/04/2024,135076,7894,534,4027,24922.89
CAMP1202,Holiday Deals,Email Marketing,10/02/2024,117881,6150,780,2818.28,40654.49
CAMP1203,Holiday Deals,TikTok Ads,04/12/2024,82500,2595,255,2245.36,22689
CAMP1204,Brand Awareness,Email Marketing,22/01/2024,97421,5167,395,3269.45,39163.37
CAMP1205,Winter Promo,Google Ads,09/12/2024,111485,3950,490,3461.17,56486.68
CAMP1206,Summer Sale,Affiliate,13/12/2024,119864,1490,42,3936.87,2378.58
CAMP1207,Flash Sale,Affiliate,17/01/2024,45222,2601,372,1985.66,35826.74
CAMP1208,Summer Sale,Affiliate,06/07/2024,109342,3499,196,4810.5,4427.9
CAMP1209,Summer Sale,Email Marketing,22/09/2024,106446,7871,277,3919.83,25041.85
CAMP1210,New Product Launch,Affiliate,26/05/2024,133765,3212,120,555.45,4471.88
CAMP1211,Clearance Event,Google Ads,18/02/2025,88778,5038,565,2839.99,27705.47
CAMP1212,Retargeting Campaign,Meta Ads,30/12/2024,50636,3319,285,782.54,11427.94
CAMP1213,Summer Sale,Meta Ads,08/02/2025,134504,1592,146,1970.77,14653.46
CAMP1214,Summer Sale,Affiliate,14/02/2024,22235,703,105,3650.57,7619.8
CAMP1215,Flash Sale,Affiliate,07/02/2024,37853,2955,305,2359.88,26843.32
CAMP1216,Brand Awareness,Meta Ads,28/02/2025,149520,8191,357,4838.07,22584.47
CAMP1217,Winter Promo,Google Ads,22/09/2024,45112,1411,57,4686.74,2425.18
CAMP1218,Retargeting Campaign,Google Ads,08/05/2024,56459,3074,281,800.82,14129.37
CAMP1219,Holiday Deals,Affiliate,24/11/2024,49206,2530,241,1021.76,19869.95
CAMP1220,Brand Awareness,Affiliate,22/01/2024,12437,195,27,3900.91,1254.57
CAMP1221,New Product Launch,Affiliate,01/08/2024,12939,580,58,1590.42,6708.57
CAMP1222,Clearance Event,Meta Ads,16/02/2025,111454,3435,101,487.58,6460.02
CAMP1223,Clearance Event,Email Marketing,14/04/2024,94179,4941,299,3648.14,27932.57
CAMP1224,Brand Awareness,Email Marketing,07/03/2024,102134,4703,158,1360.34,5095.85
CAMP1225,Clearance Event,Meta Ads,13/03/2024,30378,411,58,4347.99,3585.18
CAMP1226,Summer Sale,TikTok Ads,22/10/2024,86976,2025,82,4980.65,5467.88
CAMP1227,Retargeting Campaign,Email Marketing,12/01/2024,28605,2178,186,4840.1,7721.69
CAMP1228,Brand Awareness,Google Ads,26/01/2024,78755,3515,473,3340.45,31718.76
CAMP1229,Winter Promo,Google Ads,08/08/2024,40110,2878,329,3866.51,18619.34
CAMP1230,Flash Sale,Google Ads,18/10/2024,56027,1982,114,2054.47,7414.04
CAMP1231,Retargeting Campaign,Affiliate,14/12/2024,36145,686,22,1991.35,2610.93
CAMP1232,Brand Awareness,Meta Ads,11/04/2024,138463,5275,133,386.79,12150.77
CAMP1233,Clearance Event,Affiliate,21/08/2024,44043,2309,200,1774.24,16261.36
CAMP1234,Summer Sale,Email Marketing,11/11/2024,83442,4302,369,2646.63,25455.34
CAMP1235,Retargeting Campaign,Email Marketing,21/02/2025,9361,334,35,4903.51,2742.96
CAMP1236,Winter Promo,Affiliate,30/08/2024,74607,5796,705,3925.58,54823.22
CAMP1237,Winter Promo,Affiliate,02/09/2024,49698,2320,263,3918.11,15259.01
CAMP1238,New Product Launch,Google Ads,20/10/2024,33808,789,61,2210.15,3739.06
CAMP1239,New Product Launch,Email Marketing,13/09/2024,128628,9145,1057,498.95,35735.32
CAMP1240,New Product Launch,Affiliate,15/06/2024,130402,6100,370,1031.28,41148.59
CAMP1241,Brand Awareness,Affiliate,30/06/2024,74300,3916,176,1383.29,13342.33
CAMP1242,New Product Launch,TikTok Ads,29/01/2025,80760,4792,525,2547.21,35689.68
CAMP1243,Retargeting Campaign,TikTok Ads,03/03/2024,147394,5391,794,4128.21,91675.94
CAMP1244,Summer Sale,TikTok Ads,22/01/2024,80400,6180,187,4635.25,16006.68
CAMP1245,Clearance Event,Meta Ads,13/04/2024,146184,4236,394,1503.78,12183.53
CAMP1246,New Product Launch,Meta Ads,26/01/2024,144209,3720,186,680.95,9863.46
CAMP1247,Clearance Event,Google Ads,14/12/2024,41036,425,38,4659.68,2306.25
CAMP1248,Clearance Event,Email Marketing,29/11/2024,57286,3604,206,1569.99,5338.75
CAMP1249,Holiday Deals,Affiliate,28/04/2024,145286,8965,1170,379.03,131212.09
CAMP1250,Flash Sale,Meta Ads,19/01/2024,109069,7106,314,3795.22,33669.93
CAMP1251,Retargeting Campaign,Google Ads,05/01/2024,83221,4140,140,4918.37,6783.86
CAMP1252,Clearance Event,Meta Ads,15/09/2024,127688,3715,464,1787.28,43203.93
CAMP1253,Retargeting Campaign,Meta Ads,08/01/2024,93371,6102,572,3834.96,21478.31
CAMP1254,Flash Sale,Email Marketing,20/09/2024,90964,1461,156,1086.95,5313.55
CAMP1255,Brand Awareness,Meta Ads,04/01/2024,73363,2703,211,1481.57,11175.09
CAMP1256,Winter Promo,TikTok Ads,30/11/2024,99254,5805,162,767.48,8210.26
CAMP1257,Flash Sale,Affiliate,26/12/2024,86521,5045,519,4715.05,29455.53
CAMP1258,New Product Launch,Meta Ads,09/03/2024,130352,2701,316,3107.55,19460.72
CAMP1259,Clearance Event,Affiliate,14/02/2025,62255,3942,427,3059.91,42160.73
CAMP1260,Clearance Event,Affiliate,26/12/2024,99839,1544,144,496.44,10766.15
CAMP1261,New Product Launch,Affiliate,01/10/2024,44282,952,124,2320.83,10915.66
CAMP1262,Clearance Event,Google Ads,18/09/2024,121780,8111,640,2663.59,42035.1
CAMP1263,Winter Promo,Affiliate,24/08/2024,85784,5201,371,4118.98,35089.35
CAMP1264,Holiday Deals,Google Ads,04/08/2024,95316,5626,508,489.23,55586.3
CAMP1265,Clearance Event,Google Ads,26/05/2024,112182,2535,95,3279.32,8828.25
CAMP1266,Flash Sale,TikTok Ads,14/07/2024,122581,8687,1197,2003.1,105662.82
CAMP1267,Summer Sale,TikTok Ads,01/03/2024,51785,4116,292,811.27,34418.75
CAMP1268,Winter Promo,Google Ads,01/06/2024,126373,7221,655,2753.28,67030.11
CAMP1269,New Product Launch,Email Marketing,26/06/2024,45664,1337,189,3680.11,5912.76
CAMP1270,Flash Sale,Affiliate,27/01/2025,9101,244,7,3050.93,452.51
CAMP1271,Winter Promo,Meta Ads,14/01/2025,16596,633,31,1242.89,3297.56
CAMP1272,Winter Promo,Meta Ads,14/09/2024,80828,2133,296,2965.33,23013.25
CAMP1273,Brand Awareness,Meta Ads,03/06/2024,42554,3361,294,2185.09,13969.53
CAMP1274,Summer Sale,Email Marketing,11/10/2024,134924,1792,116,3287.92,6741.39
CAMP1275,Brand Awareness,Email Marketing,28/07/2024,44116,1367,60,2782.06,2645.81
CAMP1276,New Product Launch,TikTok Ads,28/12/2024,42840,2844,395,2899.45,46127.55
CAMP1277,Summer Sale,Email Marketing,04/05/2024,71845,1741,181,4626.69,18953.11
CAMP1278,Holiday Deals,Affiliate,05/01/2025,54933,747,51,3103.85,1221.69
CAMP1279,Holiday Deals,Meta Ads,15/02/2025,61889,2695,358,1798.23,41421.31
CAMP1280,Winter Promo,Meta Ads,07/04/2024,35753,2226,262,4589.32,23465.41
CAMP1281,New Product Launch,Email Marketing,02/05/2024,149724,4867,276,2438,23424.71
CAMP1282,Retargeting Campaign,TikTok Ads,03/07/2024,139431,10010,806,4053.52,74346.53
CAMP1283,Brand Awareness,Meta Ads,08/07/2024,87030,3392,315,1262.12,10896.57
CAMP1284,Retargeting Campaign,Affiliate,26/10/2024,114465,3509,159,1304.09,12239.65
CAMP1285,New Product Launch,Email Marketing,08/10/2024,93490,2618,331,4839.24,27860.09
CAMP1286,Clearance Event,Email Marketing,27/03/2024,97320,2126,241,2543.92,26917.28
CAMP1287,Winter Promo,Affiliate,18/01/2024,24485,1864,199,3868.83,12186.61
CAMP1288,New Product Launch,Google Ads,28/12/2024,44591,474,40,1991.36,3271.34
CAMP1289,Clearance Event,Email Marketing,09/01/2024,6733,318,23,280.29,2121.04
CAMP1290,Retargeting Campaign,Google Ads,14/09/2024,117872,7830,1082,713.68,32061.16
CAMP1291,Summer Sale,Meta Ads,08/04/2024,143007,3956,261,4015.69,7282.4
CAMP1292,Flash Sale,Email Marketing,16/10/2024,68755,5453,269,3483.4,28187.63
CAMP1293,Winter Promo,Google Ads,26/07/2024,104421,3801,311,3256.39,28078.48
CAMP1294,Holiday Deals,Email Marketing,10/08/2024,91840,4556,599,657.74,43616.74
CAMP1295,Winter Promo,Meta Ads,18/04/2024,129649,3756,526,3485.26,25267.62
CAMP1296,Winter Promo,Meta Ads,10/06/2024,9104,703,67,3810.82,6115.17
CAMP1297,Flash Sale,Google Ads,02/06/2024,47585,2354,220,4277.32,19294.77
CAMP1298,Brand Awareness,Email Marketing,21/01/2025,41687,2723,298,576.45,28174.61
CAMP1299,Brand Awareness,Google Ads,20/02/2024,119580,3138,93,3104.81,7568.95
CAMP1300,Flash Sale,TikTok Ads,16/01/2024,76651,4970,390,1295.06,29368.47
CAMP1301,Flash Sale,Email Marketing,05/04/2024,104633,1673,168,4030.66,15340.22
